Interactor_A	Interactor_B	Interaction Detection Method	Publication 1st Author	Publication Identifiers
CASP4	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Ewing RM (2007)	pubmed:17353931
NEK6	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Ewing RM (2007)	pubmed:17353931
CDK4	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Ewing RM (2007)	pubmed:17353931
STYXL1	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Ewing RM (2007)	pubmed:17353931
CASP4	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Ewing RM (2007)	pubmed:17353931
MAGED1	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Ewing RM (2007)	pubmed:17353931
CDK4	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Ewing RM (2007)	pubmed:17353931
ATM	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Kim ST (2002)	pubmed:11877376
ATM	SMC1A	psi-mi:"MI:0096"(pull down)	Kim ST (2002)	pubmed:11877376
SMC1A	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Kim ST (2002)	pubmed:11877376
MDC1	HDAC8	psi-mi:"MI:0686"(unspecified method)	Rodriguez M (2003)	pubmed:14578343
NCOA3	ANKRD11	psi-mi:"MI:0018"(two hybrid)	Zhang A (2004)	pubmed:15184363
NCOA3	ANKRD11	psi-mi:"MI:0096"(pull down)	Zhang A (2004)	pubmed:15184363
ANKRD11	NCOA2	psi-mi:"MI:0096"(pull down)	Zhang A (2004)	pubmed:15184363
ANKRD11	NCOA3	psi-mi:"MI:0096"(pull down)	Zhang A (2004)	pubmed:15184363
ANKRD11	HDAC3	psi-mi:"MI:0096"(pull down)	Zhang A (2004)	pubmed:15184363
ANKRD11	HDAC3	psi-mi:"MI:0004"(affinity chromatography technology)	Zhang A (2004)	pubmed:15184363
HDAC3	ANKRD11	psi-mi:"MI:0004"(affinity chromatography technology)	Zhang A (2004)	pubmed:15184363
MSH6	SMC1A	psi-mi:"MI:0096"(pull down)	Wang Y (2003)	pubmed:14657349
CHTF18	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Bermudez VP (2003)	pubmed:12930902
CHTF18	RAD21	psi-mi:"MI:0004"(affinity chromatography technology)	Bermudez VP (2003)	pubmed:12930902
REC8	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Lee J (2003)	pubmed:12759374
SMC1A	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Lee J (2003)	pubmed:12759374
SMC3	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Lee J (2003)	pubmed:12759374
SMC3	REC8	psi-mi:"MI:0004"(affinity chromatography technology)	Lee J (2003)	pubmed:12759374
HDAC8	RUNX1T1	psi-mi:"MI:0004"(affinity chromatography technology)	Amann JM (2001)	pubmed:11533236
HDAC8	CBFA2T3	psi-mi:"MI:0004"(affinity chromatography technology)	Amann JM (2001)	pubmed:11533236
SMARCA5	RAD21	psi-mi:"MI:0401"(biochemical)	Hakimi MA (2002)	pubmed:12198550
SMARCA5	SMC1A	psi-mi:"MI:0401"(biochemical)	Hakimi MA (2002)	pubmed:12198550
SMARCA5	SMC3	psi-mi:"MI:0401"(biochemical)	Hakimi MA (2002)	pubmed:12198550
RAD21	CHD3	psi-mi:"MI:0401"(biochemical)	Hakimi MA (2002)	pubmed:12198550
RAD21	SMARCA5	psi-mi:"MI:0401"(biochemical)	Hakimi MA (2002)	pubmed:12198550
HDAC2	SMC3	psi-mi:"MI:0401"(biochemical)	Hakimi MA (2002)	pubmed:12198550
PRSS23	NIPBL	psi-mi:"MI:0018"(two hybrid)	Stelzl U (2005)	pubmed:16169070
BRD4	RFC1	psi-mi:"MI:0004"(affinity chromatography technology)	Maruyama T (2002)	pubmed:12192049
RFC1	BRD4	psi-mi:"MI:0004"(affinity chromatography technology)	Maruyama T (2002)	pubmed:12192049
BRD4	RFC2	psi-mi:"MI:0004"(affinity chromatography technology)	Maruyama T (2002)	pubmed:12192049
BRD4	RFC3	psi-mi:"MI:0004"(affinity chromatography technology)	Maruyama T (2002)	pubmed:12192049
