"","Aural Anomalies","Cerebral Anomalies","Ciliopathy","Coronary and Vascular Anomalies","Digestive Anomalies","Facial Anomalies","Hormonal Anomalies","Liver Anomalies","Nasal Anomalies","Neural Anomalies","Ophthalmic Anomalies","Organ Anomalies","Others","Renal Anomalies","Reproductive Anomalies","Respiratory Anomalies","Skeletal Anomalies","type_ciliopathy","Human.Gene.Name","Subcellular.Localization"
"1","0","1","acrocallosal.syndrome","0","0","1","0","0","0","0","1","0","1","0","0","0","1","Primary","KIF7","1"
"2","1","1","al.gazali.bakalinova.syndrome","0","0","0","0","0","0","0","1","1","0","0","0","0","1","Primary","KIF7","1"
"3","0","1","autosomal.dominant.polycystic.kidney.disease","1","1","0","0","1","0","0","0","0","0","1","0","0","0","Primary","PKD1","1"
"4","0","1","autosomal.dominant.polycystic.kidney.disease","1","1","0","0","1","0","0","0","0","0","1","0","0","0","Primary","PKD2","1"
"5","0","1","autosomal.dominant.polycystic.kidney.disease","1","1","0","0","1","0","0","0","0","0","1","0","0","0","Primary","GANAB","0"
"6","0","1","autosomal.dominant.polycystic.kidney.disease","1","1","0","0","1","0","0","0","0","0","1","0","0","0","Primary","DNAJB11","0"
"7","0","1","autosomal.dominant.polycystic.kidney.disease","1","1","0","0","1","0","0","0","0","0","1","0","0","0","Primary","IFT140","1"
"8","0","1","autosomal.dominant.polycystic.kidney.disease","1","1","0","0","1","0","0","0","0","0","1","0","0","0","Primary","ACOT13","0"
"9","0","1","autosomal.dominant.polycystic.kidney.disease","1","1","0","0","1","0","0","0","0","0","1","0","0","0","Primary","PTGER2","2"
"10","0","1","autosomal.dominant.polycystic.kidney.disease","1","1","0","0","1","0","0","0","0","0","1","0","0","0","Primary","ALG9","0"
"11","0","1","autosomal.dominant.polycystic.kidney.disease","1","1","0","0","1","0","0","0","0","0","1","0","0","0","Primary","CYS1","1"
"12","0","1","autosomal.dominant.polycystic.kidney.disease","1","1","0","0","1","0","0","0","0","0","1","0","0","0","Primary","FCYT","0"
"13","0","1","autosomal.dominant.polycystic.kidney.disease","1","1","0","0","1","0","0","0","0","0","1","0","0","0","Primary","ALG5","0"
"14","0","1","autosomal.dominant.polycystic.kidney.disease","1","1","0","0","1","0","0","0","0","0","1","0","0","0","Primary","DZIP1L","0"
"15","0","1","autosomal.recessive.polycystic.kidney.disease","1","1","0","0","1","0","0","0","0","0","1","0","0","0","Primary","PKHD1","0"
"16","0","1","autosomal.recessive.polycystic.kidney.disease","1","1","0","0","1","0","0","0","0","0","1","0","0","0","Primary","DZIP1L","1"
"17","0","1","polycystic.kidney.disease","1","1","0","0","1","0","0","0","0","0","1","0","0","0","Primary","GLI1","1"
"18","0","1","polycystic.kidney.disease","1","1","0","0","1","0","0","0","0","0","1","0","0","0","Primary","PMM2","0"
"19","0","1","polycystic.kidney.disease","1","1","0","0","1","0","0","0","0","0","1","0","0","0","Primary","GNAS","1"
"20","0","1","polycystic.kidney.disease","1","1","0","0","1","0","0","0","0","0","1","0","0","0","Primary","PI4KB","0"
"21","0","1","polycystic.kidney.disease","1","1","0","0","1","0","0","0","0","0","1","0","0","0","Primary","TTC30A","0"
"22","0","1","polycystic.kidney.disease","1","1","0","0","1","0","0","0","0","0","1","0","0","0","Primary","STAT3","0"
"23","0","1","infantile.polycystic.kidney.disease","1","1","0","0","1","0","0","0","0","0","1","0","0","0","Primary","HNF1B","0"
"24","0","1","bilateral.polycystic.kidney.disease","1","1","0","0","1","0","0","0","0","0","1","0","0","0","Primary","TTC21B","1"
"25","1","0","alström.syndrome","1","1","0","1","1","0","0","1","0","0","1","1","0","1","Primary","ALMS1","0"
"26","1","0","bardet.biedl.syndrome","1","1","1","1","1","1","1","1","0","1","1","1","0","1","Primary","BBS1","1"
"27","1","0","bardet.biedl.syndrome","1","1","1","1","1","1","1","1","0","1","1","1","0","1","Primary","BBS2","1"
"28","1","0","bardet.biedl.syndrome","1","1","1","1","1","1","1","1","0","1","1","1","0","1","Primary","ARL6","1"
"29","1","0","bardet.biedl.syndrome","1","1","1","1","1","1","1","1","0","1","1","1","0","1","Primary","BBS4","1"
"30","1","0","bardet.biedl.syndrome","1","1","1","1","1","1","1","1","0","1","1","1","0","1","Primary","BBS5","1"
"31","1","0","bardet.biedl.syndrome","1","1","1","1","1","1","1","1","0","1","1","1","0","1","Primary","MKKS","0"
"32","1","0","bardet.biedl.syndrome","1","1","1","1","1","1","1","1","0","1","1","1","0","1","Primary","BBS7","1"
"33","1","0","bardet.biedl.syndrome","1","1","1","1","1","1","1","1","0","1","1","1","0","1","Primary","TTC8","0"
"34","1","0","bardet.biedl.syndrome","1","1","1","1","1","1","1","1","0","1","1","1","0","1","Primary","BBS9","1"
