"","Aural Anomalies","Cerebral Anomalies","Ciliopathy","Coronary and Vascular Anomalies","Digestive Anomalies","Facial Anomalies","Hormonal Anomalies","Liver Anomalies","Nasal Anomalies","Neural Anomalies","Ophthalmic Anomalies","Organ Anomalies","Others","Renal Anomalies","Reproductive Anomalies","Respiratory Anomalies","Skeletal Anomalies","Human.Gene.Name","Subcellular.Localization"
"1",0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,4,1
"2",1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,1
"3",0,1,12,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
"4",0,1,12,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
"5",0,1,12,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"6",0,1,12,1,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0
"7",0,1,12,1,1,0,0,1,0,0,0,0,0,1,0,0,0,4,1
"8",0,1,12,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"9",0,1,12,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,2
"10",0,1,12,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"11",0,1,12,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
"12",0,1,12,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"13",0,1,12,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"14",0,1,12,1,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0
"15",0,1,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0
"16",0,1,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,2,1
"17",0,1,6,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
"18",0,1,6,1,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0
"19",0,1,6,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
"20",0,1,6,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"21",0,1,6,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"22",0,1,6,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"23",0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"24",0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,7,1
"25",1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0
"26",1,0,25,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,1
"27",1,0,25,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,1
"28",1,0,25,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,1
"29",1,0,25,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
"30",1,0,25,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
"31",1,0,25,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,0
"32",1,0,25,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
"33",1,0,25,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,0
"34",1,0,25,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
"35",1,0,25,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0
"36",1,0,25,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0
"37",1,0,25,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0
"38",1,0,25,1,1,1,1,1,1,1,1,0,1,1,1,0,1,3,1
"39",1,0,25,1,1,1,1,1,1,1,1,0,1,1,1,0,1,7,1
"40",1,0,25,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
"41",1,0,25,1,1,1,1,1,1,1,1,0,1,1,1,0,1,3,1
"42",1,0,25,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
"43",1,0,25,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
"44",1,0,25,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0
"45",1,0,25,1,1,1,1,1,1,1,1,0,1,1,1,0,1,3,1
"46",1,0,25,1,1,1,1,1,1,1,1,0,1,1,1,0,1,3,1
"47",1,0,25,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,1
"48",1,0,25,1,1,1,1,1,1,1,1,0,1,1,1,0,1,7,1
"49",1,0,25,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0
"50",1,0,25,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,1
"51",0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0
"52",0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1
"53",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0
"54",1,1,6,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1
"55",1,1,6,1,0,1,1,0,1,0,0,1,0,0,0,0,1,2,0
"56",1,1,6,1,0,1,1,0,1,0,0,1,0,0,0,0,1,3,0
